S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
CANHSR1|SYDNEY RES CORP|STOCK|A43761|CAN|CAD|CANHSR1|20011115|20060917
CANHSR1|WEST TIMMINS MINING INC|STOCK|A43761|CAN|CAD|CANHSR1|20060918|20091129
CANHSS1|PETRO-REEF RES LTD|STOCK|A56041|CAN|CAD|CANHSS1|19961231|20120916
CANHSS1|ALEXANDER ENERGY LTD|STOCK|A56041|CAN|CAD|CANHSS1|20120917|20751231
CANHST1|GABRIEL RES LTD|STOCK|A43762|CAN|CAD|CANHST1|19961231|20751231
CANHSU1|AZIMUT EXPLORATION INC|STOCK|A43763|CAN|CAD|CANHSU1|19961231|20751231
CANHSV1|PRESIDENT MINES LTD|STOCK|A43764|CAN|CAD|CANHSV1|19961231|20080129
CANHSV1|POTASH ONE INC|STOCK|A43764|CAN|CAD|CANHSV1|20080130|20110317
CANHSW1|PARKCREST EXPLS LTD|STOCK|A61189|CAN|CAD|CANHSW1|19961231|20000807
CANHSW1|FOSSIL BAY RES LTD|STOCK|A61189|CAN|CAD|CANHSW1|20000808|20050206
CANHSZ1|EARTHWORKS INDS INC|STOCK|A43765|CAN|CAD|CANHSZ1|19961231|20751231
CANHTB1|LEITAK ENTERPRISES LTD|STOCK|A43767|CAN|CAD|CANHTB1|19961231|20011031
CANHTC1|ARLINGTON VENTURES LTD CDA|STOCK|A43769|CAN|CAD|CANHTC1|19961231|20010626
CANHTC1|ARLINGTON OIL & GAS LTD|STOCK|A43769|CAN|CAD|CANHTC1|20010627|20030312
CANHTC1|CYPRESS HILLS RES CORP|STOCK|A43769|CAN|CAD|CANHTC1|20030313|20751231
CANHTD1|CIGAR OIL & GAS LTD|STOCK|A43770|CAN|CAD|CANHTD1|19961231|20030121
CANHTE1|POLAR BEAR VENTURES LTD|STOCK|A43771|CAN|CAD|CANHTE1|19970425|19990223
CANHTE1|ICIENA VENTURES INC|STOCK|A43771|CAN|CAD|CANHTE1|19990224|20130207
CANHTE1|BARKSDALE CAPITAL CORP|STOCK|A43771|CAN|CAD|CANHTE1|20130208|20751231
CANHTF1|FAS INTL LTD|STOCK|A70826|CAN|CAD|CANHTF1|19961231|20020531
CANHTH1|PANCONTINENTAL MARKETING CORP|STOCK|A70827|CAN|CAD|CANHTH1|19990112|19991229
CANHTH1|ONSAT NET CDA INC|STOCK|A70827|CAN|CAD|CANHTH1|19991230|20010928
CANHTI1|INTERNATIONAL PANORAMA RES CP|STOCK|A43773|CAN|CAD|CANHTI1|19961231|20020929
CANHTI1|KAKANDA DEVELOPMENT CORP|STOCK|A43773|CAN|CAD|CANHTI1|20020930|20070121
CANHTJ1|POLY-PACIFIC INTL INC|STOCK|A56042|CAN|CAD|CANHTJ1|19961231|20100224
CANHTJ1|GLOBAL GREEN MATRIX CORP|STOCK|A56042|CAN|CAD|CANHTJ1|20100225|20130920
CANHTJ1|INTERCEPT ENERGY SERVICES INC|STOCK|A56042|CAN|CAD|CANHTJ1|20130921|20751231
CANHTL1|PARTON CAP INC|STOCK|A43774|CAN|CAD|CANHTL1|19961231|20030331
CANHTM1|CORLAC OILFIELD LEASING LTD|STOCK|A43775|CAN|CAD|CANHTM1|19970115|20000330
CANHTM1|ENHANCED ENERGY SVCS LTD|STOCK|A43775|CAN|CAD|CANHTM1|20000331|20010311
CANHTM1|ENSOURCE ENERGY SVCS INC|STOCK|A43775|CAN|CAD|CANHTM1|20010312|20020731
CANHTO1|CAPELLA RES LTD CDA|STOCK|A43776|CAN|CAD|CANHTO1|19961231|20751231
CANHTP1|PELORUS NAV SYS INC|STOCK|A60344|CAN|CAD|CANHTP1|19961231|20041111
CANHTP1|PELORUS ENERGY CORP|STOCK|A60344|CAN|CAD|CANHTP1|20041112|20050809
CANHTP1|REDSTAR OIL & GAS INC|STOCK|A60344|CAN|CAD|CANHTP1|20050810|20080704
CANHTR1|BELL COAST CAP CORP|STOCK|A43778|CAN|CAD|CANHTR1|19961231|20050321
CANHTR1|URANIUM POWER CORP CDA|STOCK|A43778|CAN|CAD|CANHTR1|20050322|20090806
CANHTS1|PENDER CAP CORP|STOCK|A43780|CAN|CAD|CANHTS1|19961231|20011007
CANHTS1|GARIBALDI GRANITE CORP|STOCK|A43780|CAN|CAD|CANHTS1|20011008|20060111
CANHTS1|GARIBALDI RES CORP|STOCK|A43780|CAN|CAD|CANHTS1|20060112|20751231
CANHTT1|DATINVEST INTL LTD|STOCK|A43781|CAN|CAD|CANHTT1|19961231|20751231
CANHTU1|PHOENIX CAP INC|STOCK|A56043|CAN|CAD|CANHTU1|19980513|20050717
CANHTW1|SKEENA RES LTD|STOCK|A56044|CAN|CAD|CANHTW1|19961231|20751231
CANHTX1|PRO OR MNG RES INC|STOCK|A56045|CAN|CAD|CANHTX1|19961231|20140120
CANHTX1|Novus Energy Inc|STOCK|A56045|CAN|CAD|CANHTX1|20140121|20751231
CANHTZ1|DRAIG RES LTD|STOCK|A43784|CAN|CAD|CANHTZ1|19961231|20010629
CANHUA1|PROCESS CAP CORP|STOCK|A56046|CAN|CAD|CANHUA1|19970411|20120722
CANHUB1|PPF INTL CORP|STOCK|A70828|CAN|CAD|CANHUB1|19961231|20011130
CANHUC1|PACIFICA PAPER LTD PARTNERSHIP|STOCK|A72355|CAN|CAD|CANHUC1|19980710|19990430
CANHUD1|JUSTINIAN EXPLORATIONS LTD|STOCK|A43785|CAN|CAD|CANHUD1|19961231|20010322
CANHUD1|CONACHER OIL & GAS LTD|STOCK|A43785|CAN|CAD|CANHUD1|20010323|20030525
CANHUD1|CONNACHER OIL & GAS LTD|STOCK|A43785|CAN|CAD|CANHUD1|20030526|20751231
CANHUE1|ROADKING TRAVEL CTRS INC|STOCK|A56047|CAN|CAD|CANHUE1|19961231|20751231
CANHUF1|RONDAL GOLD CORP|STOCK|A43786|CAN|CAD|CANHUF1|19961231|20000227
